source_index,target_index,source_entity,target_entity,type,count
C0205081,C0184511,moderate,improvement,modify,11
C2986473,C0005978,metallic,wires,modify,11
C2984009,C0449911,suboptimal,view,modify,11
C0332466,C0037949,fusion,spine,located_at,11
C0333051,silhouette,shifted,silhouette,modify,11
slightly,difference,slightly,different,modify,11
C0449584,C0009938,opacification,contusion,suggestive_of,11
C0013819,leads,eeg,leads,located_at,13
C0006282,C0796494,bronchograms,lobe,located_at,11
C0205090,pic,right,pic,modify,11
C0443246,lingular,left,lingular,modify,11
osteopenic,C0521324,osteopenic,skeletal,located_at,11
C0205217,conspicuity,increased,conspicuity,modify,11
C0205132,C0175730,lines,tubes,located_at,17
C0449584,C0012634,opacification,disease,suggestive_of,11
C0392756,C0449432,decreased,component,modify,11
C0205329,C0449584,progressive,opacification,modify,11
C0205132,C0175723,linear,band,modify,11
C0547040,C0006660,minimal,calcification,modify,11
C0443246,C0475311,left-sided,port,modify,11
C0522501,hemithoraces,markings,hemithoraces,located_at,11
C0441994,C0014876,lower,esophagus,modify,11
C0332464,cardiomediastinal,widening,cardiomediastinal,located_at,11
C0017446,C0332469,region,fissure,located_at,11
radiodense,C0347997,radiodense,object,modify,11
C0025080,C0589488,device,subclavian,located_at,11
C0205119,C0029053,triangular,opacity,modify,11
keo,C0175730,keo,tube,modify,11
C0849355,C0449911,out,view,modify,11
C0035139,C0175730,replacement,tube,located_at,11
C0524724,C0017446,staples,region,located_at,11
C1272706,C0036974,interval,collapse,modify,11
C0750489,C0332464,apparent,widening,modify,11
C0441987,C0817096,side,chest,located_at,11
C0443246,pic,left,pic,modify,11
C0012634,C0022417,disease,joint,located_at,11
C0001861,C0025066,air,mediastinum,located_at,17
C0205081,C0205217,moderate,increase,modify,11
C0243107,C0449584,development,opacification,modify,11
C0029053,hila,opacities,hila,located_at,11
slightly,pronounced,slightly,pronounced,modify,11
C0032225,C0012621,pleural,drainage,located_at,11
last,C0582103,last,examination,modify,11
aicd,C0589488,aicd,subclavian,located_at,11
C0750508,C0205250,persistently,elevated,modify,11
C0001613,irregularity,cortical,irregularity,modify,12
radiopaque,C0205132,radiopaque,line,modify,11
aicd,C0934569,aicd,hemithorax,located_at,11
C0205297,C0205234,nodular,focus,modify,10
C0549177,C0013990,large,emphysema,modify,10
C0522501,C0000768,marked,deformity,modify,10
cvc,C0589488,cvc,subclavian,located_at,14
C0205094,C0332459,anterior,compression,modify,10
C0205095,C0024109,posterior,lung,modify,10
redemonstration,C0032320,redemonstration,pneumoperitoneum,modify,10
C0205234,C0205400,focal,thickening,modify,10
C0005847,C0178499,vessels,base,located_at,10
C0441987,C0205104,side,down,modify,10
C0549177,C0175730,large,tube,modify,10
C0205081,C0443286,moderate,reaction,modify,10
remains,C0205360,remains,stable,modify,10
C0032326,C0302908,pneumothorax,fluid,suggestive_of,11
consolidations,C0796494,consolidations,lobe,located_at,10
C1282910,C0032326,upper,pneumothorax,modify,10
C0543467,C0332197,surgically,absent,modify,10
C0205360,C0933845,stable,parenchyma,modify,10
C0205360,pigtail,stable,pigtail,modify,10
C0205360,C4068833,stable,vascularity,modify,10
C0522501,C0006660,marked,calcifications,modify,10
C0205234,prominence,focal,prominence,modify,10
C0021102,ng,placement,ng,located_at,15
C0039991,C1457869,thoracotomy,defect,located_at,18
dated,C1306645,dated,radiograph,modify,10
semisupine,C0449911,semisupine,view,modify,10
redemonstration,C0019270,redemonstration,hernia,modify,10
C0205246,C0018800,generalized,cardiomegaly,modify,10
C0750532,C0205329,mildly,progressive,modify,10
significantly,C0439801,significantly,limited,modify,10
C1510467,C0441107,injury,cuff,located_at,10
C0547040,C0017110,minimal,gas,modify,10
C0582103,C0262950,examination,bones,located_at,10
fourth,C0449719,fourth,portion,modify,10
C0205251,ett,low,ett,modify,10
C0180860,C1413046,filter,cava,located_at,11
prominent,C0018800,prominent,cardiomegaly,modify,10
C0205360,C0035139,stable,replacement,modify,10
C0549178,C0004144,continued,atelectasis,modify,10
C0522501,C0032285,markings,pneumonia,suggestive_of,10
C1293130,C0206427,stabilizing,rods,modify,10
sided,pigtail,sided,pigtail,modify,10
C0547044,C0439794,less,dense,modify,10
C0522501,C0029053,marked,opacities,modify,13
C0000726,C0677535,abdominal,wall,located_at,11
C0190165,C0184252,annuloplasty,valve,located_at,10
redemonstration,C2607943,redemonstration,findings,modify,10
C0205257,C0004048,incomplete,inspiration,modify,10
C0205217,C0439775,increased,elevation,modify,10
C0205217,areas,increased,areas,modify,10
sided,C0024109,sided,lung,modify,10
C0205098,C0032326,medial,pneumothorax,modify,12
C0205341,C0947630,repeating,study,modify,10
definite,C0332448,definite,infiltrates,modify,10
C0205232,C1301886,fine,caliber,modify,10
C0441994,C0449719,lower,portion,modify,10
C0205095,C0205112,posterior,basal,modify,10
C0205098,C0205284,medial,border,modify,10
C0439806,C0032326,gross,pneumothorax,modify,10
contrast,C0520510,contrast,material,modify,10
C0015252,pigtail,removal,pigtail,modify,10
prominent,C0441635,prominent,segment,modify,10
contrast,C0021853,contrast,bowel,located_at,10
C0547040,C3668885,minimal,cuffing,modify,10
reaccumulation,C0013687,reaccumulation,effusion,modify,10
C0032225,C0205148,pleural,surface,located_at,12
recent,C0086296,recent,film,modify,10
C0587267,C1705504,close,tip,modify,10
redemonstrated,C0013990,redemonstrated,emphysema,modify,10
sideport,C0205144,sideport,junction,located_at,10
C1547225,C0015207,mild,eventration,modify,10
C0205217,C0001861,increased,air,modify,10
C0006660,C0040811,calcification,tree,located_at,10
C0020725,C0025080,icd,device,located_at,11
C0205210,setting,clinical,setting,modify,10
C1550452,C0005847,definition,vasculature,located_at,10
C0442739,C0301559,unchanged,screws,modify,10
C0205360,C0475311,stable,port,modify,10
C1547225,C0010383,mild,crowding,modify,10
redemonstration,C0008767,redemonstration,scarring,modify,10
C0549183,C0678594,midline,structures,modify,11
C1522010,C0024109,lobar,pulmonary,modify,10
C0547040,C0333051,minimal,shift,modify,10
several,C0000768,several,deformities,modify,10
demonstrated,C0029053,demonstrated,opacity,modify,10
redemonstration,blunting,redemonstration,blunting,modify,10
C0547040,C1517945,minimal,loss,modify,10
redemonstration,C0332464,redemonstration,widening,modify,10
prominence,C0876954,prominence,contour,located_at,10
C0015252,C0562458,removal,pacing,located_at,10
C0029053,paramediastinal,opacity,paramediastinal,located_at,10
first,C1696103,first,image,modify,10
C0185792,C0018787,sternotomy,heart,located_at,10
C1282910,C0205093,superior,lateral,modify,10
C0547040,C1265611,minimal,amount,modify,10
C0006267,C0016059,bronchiectasis,fibrosis,suggestive_of,10
C0547040,C0522501,minimal,markings,modify,10
C0205095,C0027530,posterior,cervical,modify,10
C0013687,C0700198,effusions,aspiration,suggestive_of,10
C0018800,silhouette,cardiomegaly,silhouette,suggestive_of,10
C0004454,C0005847,axillary,vascular,modify,10
C0449584,C0001861,opacification,air,located_at,10
C0700321,C0302908,small,fluid,modify,10
C0012691,C0030797,dislocation,pelvis,located_at,10
irregularity,C0016658,irregularity,fracture,suggestive_of,10
C0332255,C0085590,fragment,catheter,modify,10
subtle,C0205217,subtle,increase,modify,10
C0443299,C0085590,separate,catheter,modify,10
C0332271,C0013990,worsening,emphysema,modify,10
C0849355,pads,removed,pads,modify,10
C0439064,C0392747,multiple,changes,modify,10
abandoned,lead,abandoned,lead,modify,10
C0332271,C0700364,worsened,appearance,modify,10
C0332290,C0019664,consistent,history,modify,10
suggestion,C0205132,suggestion,lines,suggestive_of,10
C0849355,cvc,removed,cvc,modify,10
C0332448,perihilar,infiltrate,perihilar,located_at,11
superimposed,C0012634,superimposed,disease,modify,10
C0001861,C0027530,air,neck,located_at,10
C0746591,C2262860,mitral,annulus,located_at,17
known,C0012634,known,disease,modify,10
C0036525,C0006826,metastatic,cancer,located_at,10
C0439064,C0006282,multiple,bronchograms,modify,10
C0849355,C0025080,removed,device,modify,10
known,C0019664,known,history,modify,10
C0332490,C0577559,rounded,mass,modify,10
C0029053,C0003483,opacity,aorta,located_at,10
C0443246,fields,left,fields,modify,10
C0205132,C0549183,line,midline,located_at,10
C0001861,C1516698,air,collection,located_at,15
C4299032,C0582103,portable,examination,modify,10
C0018787,C0562458,cardiac,pacing,modify,14
slightly,irregularity,slight,irregularity,modify,10
C0205168,C0205132,thin,line,modify,10
C0449432,C0013604,component,edema,modify,10
C0012634,C0035222,disease,ards,suggestive_of,10
C0178499,C0032225,base,pleural,located_at,16
C0262950,C2607943,osseous,findings,located_at,10
blurring,C0013604,blurring,edema,suggestive_of,10
C0302587,C0178587,radio-opaque,density,modify,10
C0205157,C0016658,remote,fractures,modify,10
C0012634,C0230467,disease,arch,located_at,10
obscured,C0011980,obscured,diaphragm,modify,10
C0012634,C0553534,disease,cardiopulmonary,located_at,10
C1139930,C0185023,plate,fixation,located_at,19
C0012634,C0700198,disease,aspiration,suggestive_of,10
unwound,C0003483,unwound,aorta,modify,10
C0332152,C0012737,prior,dissection,modify,10
still,C0205251,still,low,modify,10
C0029053,C0036974,opacity,collapse,suggestive_of,10
stranding,C0178587,stranding,densities,modify,10
C0332152,C0085590,prior,catheter,modify,10
C0012634,areas,disease,areas,located_at,10
C0442808,C0449774,increasing,pattern,modify,10
C0700321,C0006660,small,calcifications,modify,10
noted,C0013604,seen,edema,modify,10
aeration,C0004144,aeration,atelectasis,suggestive_of,10
minimally,C0442800,minimally,enlarged,modify,10
C0443246,cardiophrenic,left,cardiophrenic,modify,10
C0443246,C0205090,left,right,modify,10
tiny,C0028259,tiny,nodules,modify,10
C0392747,C0013990,changes,emphysema,suggestive_of,10
C0028259,C0035561,nodule,rib,located_at,10
tiny,C0029053,tiny,opacity,modify,10
C0037949,C0549207,spine,vertebral,located_at,10
lordotic,C0449911,lordotic,view,modify,10
C0013604,perihilar,edema,perihilar,located_at,14
C0205111,C0180499,apical,drain,located_at,13
C0017446,C0014876,region,esophagus,located_at,10
better,C0175631,better,visualization,modify,10
like,C0004144,like,atelectasis,modify,10
C0205093,C0013687,lateral,effusion,modify,10
C0013604,C0817096,edema,chest,located_at,10
total,C0449584,total,opacification,modify,10
C0017110,filled,gas,filled,modify,10
C0392747,C0449830,change,configuration,modify,10
bilaterally,C0005847,bilaterally,vasculature,modify,10
C0000768,C1547011,deformity,aspect,located_at,10
C0162326,C1306645,sequence,radiographs,modify,10
C0392747,C1306645,change,radiograph,located_at,10
bilaterally,C0012634,bilaterally,disease,modify,10
C0392747,cardiomediastinal,changes,cardiomediastinal,located_at,10
two,C0175722,two,clips,modify,10
C0151747,C0178587,tubular,density,modify,10
C0017110,C0449432,gaseous,component,modify,10
C0810633,C0179874,pacemaker,chamber,located_at,17
C0347997,quadrant,objects,quadrant,located_at,10
C0175730,C0017446,tube,region,located_at,10
C0700364,C0040590,appearance,tracheostomy,modify,10
aeration,C1521738,aeration,field,located_at,10
C0205126,C0029053,horizontal,opacity,modify,10
C0332516,C0205400,symmetric,thickening,modify,10
C0205125,C0006104,deep,brain,modify,10
C0175727,C0521329,stimulator,spinal,located_at,12
C0332523,C0175730et,retracted,et tube,modify,10
C0205125,C0004048,depth,inspiration,modify,10
C0017446,C0929176,region,hilum,located_at,12
C0443246,C1179866,left,inferolateral,modify,11
C0036974,C0549207,collapse,vertebral,located_at,10
C0175723,C0004144,band,atelectasis,located_at,10
C0332523,hila,retraction,hila,located_at,10
C0028259,C1522410,nodule,apex,located_at,10
C0028259,C0040132,nodule,thyroid,located_at,10
medially,C0178499,medially,bases,modify,10
bilaterally,C0449774,bilaterally,pattern,modify,10
C0332663,C0000768,traumatic,deformity,modify,10
aicd,C0237638,aicd,generator,located_at,10
third,C0449719,third,portion,modify,10
C0175722,C0589496,clips,supraclavicular,located_at,10
C0700364,C0521530,appearance,consolidation,suggestive_of,10
almost,C0205197,almost,complete,modify,10
C0443246,C0302908,left,fluid,modify,10
C0443246,C0237638,left-sided,generator,modify,10
C0017446,C0178499,area,base,located_at,14
C0733755,C0694637,positioning,nasogastric,located_at,10
C0449468,C0934569,volume,hemithorax,located_at,10
blunting,C0302908,blunting,fluid,suggestive_of,10
C1514893,C0004144,resolution,atelectasis,suggestive_of,10
C0521116,C0086296,current,film,located_at,10
C0439742,C0018188,scattered,granulomas,modify,10
C0011164,C0222032,degenerative,spurring,modify,10
C0449774,confluence,pattern,confluence,located_at,10
C0687118,C0205154,separated,edge,modify,10
C0449774,C0933845,pattern,parenchyma,located_at,10
C0449774,C0796494,pattern,lobe,located_at,10
C0520510,quadrant,material,quadrant,located_at,10
C0205099,C0029053,central,opacities,modify,10
C0178587,C0205284,density,margin,located_at,10
C0205100,C1547011,peripheral,aspect,modify,10
slightly,C0205419,slight,deviation,modify,10
C0004144,C0225740,atelectasis,lingula,located_at,10
C0085590,C0037949,catheter,spine,located_at,10
C0750532,osteopenic,mildly,osteopenic,modify,10
C0238767,C0205039,bilateral,bronchial,modify,10
possible,C0205217,possible,increase,modify,10
C0205194,reticulation,coarse,reticulation,modify,10
C0225594,C0444598,carina,mid,located_at,10
cardial,C0025066,cardial,mediastinal,modify,10
slightly,C0439794,slightly,dense,modify,10
C0018800,C0013687,cardiomegaly,effusion,suggestive_of,12
C0521378,C0038257,biliary,stent,located_at,17
C1709367,C0178587,oval,density,modify,10
C0178587,C0036277,density,scapula,located_at,10
underlying,C0032326,underlying,pneumothorax,modify,10
C0225594,cavoatrial,carina,cavoatrial,located_at,10
C0029053,C0443286,opacities,reaction,suggestive_of,10
C1705504,C1549092,tip,antrum,located_at,10
slightly,C0012727,slightly,displaced,modify,10
C1272706,demonstration,interval,demonstration,modify,10
C0439792,C0013990,extent,emphysema,modify,10
similar,prominence,similar,prominence,modify,10
C1705504,midthoracic,tip,midthoracic,located_at,10
C0222032,C0037949,spurring,spine,located_at,10
slightly,C0020564,slight,enlargement,modify,10
C1272706,C0860359,interval,reintubation,modify,10
persist,C0521530,persist,consolidation,modify,10
underlying,C0029053,underlying,opacities,modify,10
C0011127,C0733755,decubitus,position,located_at,10
slightly,C0035868,slight,rotation,modify,10
C1707455,ct,comparison,ct,modify,10
similar,C2607943,similar,findings,modify,10
C0449911,C0022742,views,knee,located_at,10
C1708056,C2745888,fiducial,markers,located_at,10
C1272706,obscuration,interval,obscuration,modify,10
C0238767,C0449468,bilateral,volumes,modify,10
C0596790,C0005847,interstitial,vascular,located_at,11
postsurgical,C0175722,postsurgical,clips,modify,10
C0205396,C0029053,identified,opacities,modify,10
overlying,C0004144,overlying,atelectasis,modify,10
C0589488,mediport,subclavian,mediport,modify,10
C0205400,C0934569,thickening,hemithorax,located_at,10
C1279919,C1306645,earlier,radiograph,modify,10
break,C0005978,break,wire,located_at,10
underlying,C0013687,underlying,effusion,modify,10
C0179740C0205132,brachiocephalic,picc line,brachiocephalic,located_at,10
C0205090,C0017480,right,germany,modify,10
C0449584,C0577559,opacification,mass,suggestive_of,10
slightly,C0456389,slightly,size,modify,10
C0038351,C0580846,gastric,pull,located_at,11
posteriorly,C0934502,posteriorly,layering,modify,12
C0034866,C1522577,recommended,follow-up,modify,10
clinically,indicated,clinically,indicated,modify,10
C0180307,C0817096,defibrillator,chest,located_at,10
C0009450,C0700198,infection,aspiration,suggestive_of,10
ossific,C0178587,ossific,density,modify,10
C0521378,C0180499,biliary,drain,located_at,13
overlying,C0185792,overlying,sternotomy,modify,10
C2328510,C0013604,interstitium,edema,suggestive_of,10
C0004144,C1710706,atelectasis,zone,located_at,10
C0205090,C0022742,right,knee,modify,10
C0205100,predominance,peripheral,predominance,modify,10
C0521530,C1184743,consolidation,process,suggestive_of,10
ij,pa,ij,pa,modify,10
C0205403,C0439801,extremely,limited,modify,10
C0806909,C1301886,maximal,diameter,modify,9
worrisome,C0012634,worrisome,disease,modify,9
silhouette,C0007144,silhouette,cardia,located_at,15
C0029053,C0543467,opacity,surgery,suggestive_of,9
C0205108,C0085590,distal,catheter,modify,9
C0733755,C0441889,positioned,level,modify,9
C0806909,C0205125,maximal,depth,modify,9
C0205191,C0013604,chronic,edema,modify,9
worrisome,C2607943,worrisome,findings,modify,9
C0750502,C1517945,significant,loss,modify,9
C0750502,C0934502,significant,layering,modify,9
C0205191,C0016059,chronic,fibrosis,modify,9
C0205234,C0009450,focus,infection,modify,11
significantly,C0332271,significantly,worsened,modify,9
two,C0005978,two,wires,modify,9
C0205107,C0450429,proximal,location,modify,9
C0205210,C0019664,clinical,history,modify,9
C0205098,C1522410,medial,apex,modify,9
C0025080,leads,device,leads,located_at,9
similar,C0205400,similar,thickening,modify,9
C0733755,C0025066,position,mediastinum,located_at,9
C0205210,C0237881,clinical,significance,modify,9
similar,C0449584,similar,opacification,modify,9
C0205191,C1184743,chronic,process,modify,9
remains,C0449468,remains,volume,modify,9
similar,C0521530,similar,consolidation,modify,9
three,C1306645,three,radiographs,modify,9
C0205117,airspace,adjacent,airspace,modify,9
C0205117,parenchymal,adjacent,parenchymal,modify,9
C0029053,C0449911,opacity,view,located_at,9
C0205197,C0004144,complete,atelectasis,modify,9
tiny,C1265611,tiny,amount,modify,9
similar,C0000768,similar,deformities,modify,9
C0205107,C0446516,proximal,arm,modify,9
C0205098,C0796494,medial,lobe,modify,9
C1272706,C0449468,interval,volumes,modify,9
underlying,C0332448,underlying,infiltrate,modify,9
C0205101,C1521738,outside,field,modify,9
several,C0005978,several,wires,modify,9
sparing,C1710706,sparing,zone,modify,9
C0205093,C0449719,lateral,portion,modify,9
C0205101,ct,outside,ct,modify,9
C1303192,C0392747,vertebroplasty,changes,located_at,12
C0205082,C0332459,severe,compression,modify,9
stranding,C0024109,stranding,lung,located_at,9
C0700185,C0521324,demineralization,skeletal,located_at,9
C0205132,brachiocephalic,line,brachiocephalic,located_at,9
C1313915,C0445022,redundant,loop,modify,9
C0205219,C0036429,diffuse,sclerosis,modify,9
wedging,C0000768,wedging,deformity,modify,9
C0205219,C0205400,diffuse,thickening,modify,9
C1265611,C0332523,amount,retraction,modify,9
C0205096,C0042449,cephalic,vein,modify,9
well,C4684445,well,delineated,modify,9
C0577559,C0441635,mass,segment,located_at,9
slightly,greater,slightly,greater,modify,9
C1282927,C1272706,short,interval,modify,9
C0021102,lvad,placement,lvad,located_at,14
C0205161,C0006660,abnormal,calcification,modify,9
C0687676,C0449851,post,procedure,modify,9
several,C0035561,several,ribs,modify,9
C0750508,C0449468,persistently,volumes,modify,9
C0205082,C0020564,severe,enlargement,modify,9
C0577559,C0040300,mass,tissue,located_at,9
C0205173,C0178587,double,density,modify,9
C0029053,C0205039,opacities,bronchial,located_at,9
C0687676,C0392747,post,changes,modify,9
C0205101,C0025080,external,device,modify,9
sided,C0205132,sided,line,modify,9
C0700321,C0013604,small,edema,modify,9
streaky,C0449584,streaky,opacifications,modify,9
C0700321,C0025062,small,pneumomediastinum,modify,9
C0205219,areas,diffuse,areas,modify,9
sided,jugular,sided,jugular,modify,9
well,C0234621,well,visualized,modify,9
suggestive,C2607943,suggestive,findings,modify,9
C0029053,C1547011,opacity,aspect,located_at,9
C0549178,C3887511,continued,evidence,modify,9
C0205169,defined,poorly,defined,modify,9
C0004144,C0008767,atelectasis,scarring,suggestive_of,11
C0024109,C0817096,lung,chest,located_at,9
sidehole,C0038351,sidehole,stomach,located_at,9
svc,C0205144,svc,junction,modify,11
slightly,C0013687,slight,effusion,modify,9
technically,C0439801,technically,limited,modify,9
C0700364,C0003483,appearance,aorta,located_at,9
C0205106,C0009368,transverse,colon,modify,9
C0205100,C0178499,peripheral,base,modify,9
C0205217,C0333051,increased,shift,modify,9
C0876954,C0003842,contour,artery,located_at,10
C0746922,C0442143,nodes,paratracheal,located_at,9
C0700321,C0085590,small,catheter,modify,9
C0700321,C0179586,small,cap,modify,9
C0029053,C0013990,opacities,emphysema,suggestive_of,9
C0029053,C0439688,opacities,atelectatic,suggestive_of,9
C0205090,C1522010,right,lobar,modify,9
C0205219,C0596790,diffuse,interstitial,modify,9
C1442989,C0700364,standard,appearance,modify,9
suggestion,C0004144,suggestion,atelectasis,suggestive_of,9
C0029355,C1523994,orthopedic,hardware,modify,9
C0205090,C1521735,right,pectoral,modify,9
C0205217,C0439650,increased,fullness,modify,9
slightly,C0178587,slight,densities,modify,9
C0205094,C0441635,anterior,segment,modify,9
C0029453,C0443157,osteopenia,bony,located_at,9
C0332152,C0031268,prior,pet,modify,9
C3470541,jugular,pacer,jugular,located_at,9
obscuration,C0011980,obscuration,diaphragm,located_at,9
C2986473,C0444764,metallic,coil,modify,9
obvious,C0000768,obvious,abnormalities,modify,9
C2986473,C0175722,metallic,clips,modify,9
C0018787,C0817096,heart,chest,located_at,9
C0178587,C0000726,densities,abdomen,located_at,9
C0178587,C0005847,density,vessel,suggestive_of,9
C0449579,C0796494,nodularity,lobe,located_at,9
C0238767,ij,bilateral,ij,modify,9
C0238767,hydropneumothoraces,bilateral,hydropneumothoraces,modify,9
C0018787,borders,heart,borders,located_at,9
otherwise,C0205360,otherwise,stable,modify,9
C2607943,C0700198,findings,aspiration,suggestive_of,9
C0449584,C1269845,opacification,hemidiaphragm,located_at,9
C0444764,C0038351,coiling,stomach,located_at,9
C0444764,C0017446,coils,region,located_at,9
postthoracotomy,C0392747,postthoracotomy,changes,modify,9
C0332152,C0032284,prior,pneumonectomy,modify,9
C5686136,C1883067,intercostal,space,located_at,14
C0036429,C0178587,sclerotic,density,modify,9
C0012725,C0025066,displacement,mediastinum,located_at,9
new,C0524724,new,staples,modify,9
C0444598,C0004454,mid,axillary,modify,9
C0332218,visualize,difficult,visualize,modify,9
ng,C1705504,ng,tip,located_at,10
C0332195,C1547011,posterolateral,aspect,modify,9
C0332194,C0817096,anterolateral,chest,modify,9
C0444598,C0441994,mid,lower,modify,11
noted,C0028259,noted,nodules,modify,9
C3714811,C0032285,resolving,pneumonia,modify,9
C0035868,C0086296,rotation,film,located_at,9
now,C0013604,now,edema,modify,9
C0175730,visualize,tube,visualize,modify,9
now,C0032326,now,pneumothorax,modify,9
overlying,C0025080,overlying,devices,modify,9
C0238767,C0439739,bilateral,reticular,modify,9
overlying,C3470541,overlying,pacer,modify,9
C0178587,C0205090,densities,right,located_at,11
C1705504,C0230467,tip,arch,located_at,9
C0220825,C0032326,evaluation,pneumothorax,modify,9
C0220825,C0017446,evaluation,region,located_at,9
C0205413,consolidations,patchy,consolidations,modify,9
C0205413,C0522501,patchy,markings,modify,9
C1705504,C0178499,tip,base,located_at,9
postbiopsy,C0019080,postbiopsy,hemorrhage,modify,9
C0205408,lucency,vague,lucency,modify,9
C0521530,C0035222,consolidation,ards,suggestive_of,9
C0205400,C0442004,thickening,septal,located_at,17
C0179740C0205132,C1282910,picc line,superior,located_at,14
C0179740C0205132,C1413046,picc line,cava,located_at,9
postsurgical,C0035561,postsurgical,rib,modify,9
C1705504,C0004454,tip,axilla,located_at,9
C0205400,C0024109,thickening,lung,located_at,9
C0521530,C0934569,consolidation,hemithorax,located_at,9
postsurgical,C1523994,postsurgical,hardware,modify,9
C0019270,C0024109,herniation,lung,located_at,9
C1705504,C0446516,tip,arm,located_at,9
C0449774,C0013990,pattern,emphysema,suggestive_of,9
pa,C0086296,pa,film,modify,11
C0238767,C0086296,both,films,modify,9
paramediastinal,C0017446,paramediastinal,region,located_at,9
C0178587,C0497156,density,lymphadenopathy,suggestive_of,9
C1707455,C0449911,comparison,views,modify,9
C0231458,C0582103,rotated,examination,modify,9
C0179586,C0032225,cap,pleural,located_at,11
C0178587,bibasilar,densities,bibasilar,located_at,11
persist,C0004144,persisting,atelectasis,modify,9
C0475210,C0487742,cm,width,modify,9
C0225594,svc,carina,svc,located_at,9
C0225594,C0817096,carina,thoracic,located_at,9
C0475311,C0744316,port,gastroesophageal,located_at,9
C0332290,C0005978,consistent,wires,modify,9
accentuate,C0522501,accentuate,markings,modify,9
accentuated,C0521530,accentuated,consolidation,modify,9
C0085590,C0549183,catheter,midline,located_at,9
included,C0086296,included,film,located_at,13
bore,C0175730,bore,tube,modify,9
C0439650,C0005847,fullness,vasculature,located_at,9
blurring,C0005847,blurring,vasculature,located_at,9
indistinctness,C0024109,indistinctness,pulmonary,located_at,12
C0439064,lead,multi,lead,modify,9
interposition,C0009368,interposition,colon,located_at,14
C0439064,C1306645,multiple,x-rays,modify,9
C0439064,C0678594,multiple,structures,modify,9
intervally,C0849355,intervally,removed,modify,9
C0442822,C0004144,trace,atelectasis,modify,9
C0439064,C0018188,multiple,granulomas,modify,9
bilaterally,C0449584,bilaterally,opacification,modify,9
C0443228,C0028259,largest,nodules,modify,9
bilaterally,C0037004,bilaterally,shoulders,modify,9
C0392756,C0333051,decreased,shift,modify,9
C0442739,silhouettes,unchanged,silhouettes,modify,9
C0442739,previously,unchanged,previous,modify,9
C0439775,C0178499,elevation,base,located_at,9
curvilinear,lucencies,curvilinear,lucencies,modify,9
diffusely,C0522501,diffusely,markings,modify,9
diffusely,demineralized,diffusely,demineralized,modify,9
demonstrated,C0002808,demonstrated,anatomy,modify,9
C0442739,C0020725,unchanged,icd,modify,9
C0442739,C0025062,unchanged,pneumomediastinum,modify,9
first,C0449719,first,portion,modify,9
C0442739,C0175649,unchanged,prosthesis,modify,9
cephalization,C4068833,cephalization,vascularity,modify,9
C0442739,C0333051,unchanged,shift,modify,9
C0015252,C0025080,removal,device,located_at,9
collapsed,C0796494,collapsed,lobe,located_at,9
C0016658,C0015811,fracture,femur,located_at,9
C0439794,consolidations,dense,consolidations,modify,9
C0439794,C0449774,dense,pattern,modify,9
C0085590,C0085590,catheter,catheter,located_at,9
C0392747,parenchymal,changes,parenchymal,located_at,12
C0027530,C0014876,cervical,esophagus,located_at,9
additional,C0178587,additional,densities,modify,9
bibasilar,C0032225,bibasilar,pleural,modify,9
C0013604,C0040300,edema,tissue,located_at,9
C0332523,C1705504,retracted,tip,modify,10
C0332523,C0179740C0205132,retraction,picc line,located_at,9
medially,C0450429,medially,located,modify,9
C0332523,C0035561,retraction,costal,located_at,9
again,C0005978,again,wires,modify,9
aeration,zones,aeration,zones,located_at,9
C0332514,C0205400,asymmetric,thickening,modify,9
midlung,C1521738,midlung,field,located_at,11
C0036679,C0022417,separation,joint,located_at,9
adjusted,C0175730,adjusted,tube,modify,9
most,C1547011,most,aspect,modify,9
additional,C0205132,additional,lines,modify,9
C0332463,C0022417,narrowing,joint,located_at,9
multilevel,C0012634,multilevel,disease,modify,9
multilevel,C0016658,multilevel,fractures,modify,9
C0332459,C0242821,compression,body,located_at,9
lucency,zones,lucency,zones,located_at,9
C0013604,C0442165,edema,perivascular,located_at,15
C0392747,C0035139,changes,replacement,suggestive_of,9
C0013687,C0205143,effusion,angle,located_at,9
C0392747,C0443327,changes,tricuspid,located_at,9
C0392747,C0184252,changes,valve,located_at,9
C0392747,C0085198,changes,esophagectomy,suggestive_of,11
background,C0439739,background,reticular,modify,9
C0392747,C0024881,changes,mastectomy,located_at,9
C0175722,C0230185,clips,epigastrium,located_at,9
likely,silhouette,likely,silhouette,modify,9
C0013687,C0009450,effusion,infection,suggestive_of,9
C0037993,C0003842,splenic,artery,modify,9
C0443246,C0175722,left,clips,modify,11
C0392747,C0017446,changes,region,located_at,9
lucency,C0817096,lucency,thorax,located_at,9
C0205386,C0003842,descending,artery,modify,9
obvious,C0521530,obvious,consolidation,modify,9
predominance,C1184146,predominance,basilar,located_at,13
C0522501,C0035868,marked,rotation,modify,9
C1547225,C5200924,mild,failure,modify,9
C0522501,C0333076,marked,tortuosity,modify,9
C0205360,C0013812,stable,electrode,modify,9
prominent,C0700364,prominent,appearance,modify,9
C0205292,areas,multifocal,areas,modify,9
C0006660,C0037993,calcification,splenic,located_at,9
C0205360,C0019270,stable,hernia,modify,9
C0006282,C0024109,bronchograms,lung,located_at,9
redemonstration,C0175649,redemonstration,prosthesis,modify,9
C0031809,C0582103,physical,exam,modify,9
C0205360,C0040300,stable,tissues,modify,9
